index;id;name;barrier;tariffType;tariffGroupId;tariffGroupName;tariffGroupRushHourStart;tariffGroupRushHourEnd;tariffGroupTaxName;tariffGroupTaxRateLow;tariffGroupTaxRateLow;geometryType;geometryLatitude;geometryLongitude
119;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Bensin;21;28;Point;59.909130141141226;10.627708766864771
120;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid diesel;25;31;Point;59.909130141141226;10.627708766864771
121;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid bensin;21;28;Point;59.909130141141226;10.627708766864771
122;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Ladbar hybrid;21;28;Point;59.909130141141226;10.627708766864771
123;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;1;Takstgruppe 1;15:00;17:00;Elbil;5;10;Point;59.909130141141226;10.627708766864771
105;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;06:30;09:00;Nullutslipp;0;0;Point;59.909709;10.628329
109;fy6gmfsnlhc;Rampe Fornebu til E18;Bygrensen;Enveis-betaling;2;Takstgruppe 2;15:00;17:00;Nullutslipp;0;0;Point;59.909709;10.628329
126;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;2;Takstgruppe 2;06:30;09:00;Euro VI;53;69;Point;59.909130141141226;10.627708766864771
127;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;2;Takstgruppe 2;06:30;09:00;Nullutslipp;0;0;Point;59.909130141141226;10.627708766864771
128;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;2;Takstgruppe 2;06:30;09:00;Andre;0;0;Point;59.909130141141226;10.627708766864771
129;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro V og eldre;86;101;Point;59.909130141141226;10.627708766864771
130;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;2;Takstgruppe 2;15:00;17:00;Euro VI;53;69;Point;59.909130141141226;10.627708766864771
131;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;2;Takstgruppe 2;15:00;17:00;Nullutslipp;0;0;Point;59.909130141141226;10.627708766864771
132;1inpzvga3i1;Pårampe Granfoss fra Fornebu;Bygrensen;Toveis-betaling;2;Takstgruppe 2;15:00;17:00;Andre;0;0;Point;59.909130141141226;10.627708766864771
133;svoxhodi3v;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Diesel;25;31;Point;59.90982424193205;10.628001626983632
134;svoxhodi3v;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Bensin;21;28;Point;59.90982424193205;10.628001626983632
135;svoxhodi3v;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid diesel;25;31;Point;59.90982424193205;10.628001626983632
136;svoxhodi3v;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hybrid bensin;21;28;Point;59.90982424193205;10.628001626983632
137;svoxhodi3v;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Ladbar hybrid;21;28;Point;59.90982424193205;10.628001626983632
139;svoxhodi3v;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Hydrogen;0;0;Point;59.90982424193205;10.628001626983632
138;svoxhodi3v;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;06:30;09:00;Elbil;5;10;Point;59.90982424193205;10.628001626983632
140;svoxhodi3v;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Diesel;25;31;Point;59.90982424193205;10.628001626983632
141;svoxhodi3v;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Bensin;21;28;Point;59.90982424193205;10.628001626983632
142;svoxhodi3v;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid diesel;25;31;Point;59.90982424193205;10.628001626983632
143;svoxhodi3v;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Hybrid bensin;21;28;Point;59.90982424193205;10.628001626983632
144;svoxhodi3v;E18 hovedløp;Bygrensen;Enveis-betaling;1;Takstgruppe 1;15:00;17:00;Ladbar hybrid;21;28;Point;59.90982424193205;10.628001626983632
